Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds,ID,SMILES
Z166735378,1224024-R-01,G03,282.339,1.342,2,79.630,4,,Cc1cc(NC(=O)NCC(C)(C)N2CCOCC2)no1
Z92741768,1224024-R-01,G04,275.346,1.156,1,50.520,4,,Cc1nc2ccccc2n1CC(O)CN1CCOCC1
Z241156102,1224024-R-01,G05,235.282,2.020,2,67.160,4,,Cc1cc(NC(=O)NC(C2CC2)C2CC2)no1
Z52001552,1224024-R-01,G06,274.358,2.479,1,49.410,4,,CC(NC(=O)Cn1ccccc1=O)C1CC2CCC1C2
Z51735413,1224024-R-01,G07,314.422,3.872,1,49.410,4,,CC(NC(=O)Cn1ccccc1=O)C12CC3CC(CC(C3)C1)C2
Z29269140,1224024-R-01,G08,324.332,-0.182,2,114.200,5,,CCCCn1c(N)c(N(C)C(=O)C2=COCCO2)c(=O)[nH]c1=O
Z166669210,1224024-R-01,G09,266.339,2.076,2,70.400,5,,Cc1cc(NC(=O)NCCCN2CCCCC2)no1
Z25755512,1224024-R-01,G10,302.756,2.933,1,47.280,5,,OCc1nc2ccccc2n1CCOc1ccccc1Cl
Z422337762,1224024-R-01,G11,266.319,0.007,2,74.330,4,,O=C(Cc1csc(N2CCNC2=O)n1)NC1CC1
Z356217680,1224024-R-01,H02,275.389,3.201,2,54.020,4,,O=C(NCCc1cccnc1)NC1CCCCCCC1
Z226222598,1224024-R-01,H03,334.413,-0.019,2,83.560,6,,CC(C)(C)C(=O)NCC(=O)NCc1ccc(N2CCOCC2)nc1
Z223060062,1224024-R-01,H04,340.297,2.351,1,72.630,6,,Cc1cccc(OCCn2c(C(F)(F)F)ccc(C(N)=O)c2=O)c1
Z147200208,1224024-R-01,H05,281.374,1.329,2,85.080,6,,NC(=O)Cc1csc(NC(=O)CCC2CCCC2)n1
Z356181698,1224024-R-01,H06,233.309,1.524,2,54.020,4,,O=C(NCCc1cccnc1)NC1CCCC1
Z234976568,1224024-R-01,H07,284.441,2.667,1,41.990,4,,CSc1nc(C)c(CC(=O)NC2CCCCC2)s1
Z382604908,1224024-R-01,H08,282.339,-0.624,1,80.490,7,,CCCCNC(=O)Cc1noc(CN2CCOCC2)n1
Z247505792,1224024-R-01,H09,263.335,1.734,1,54.460,3,,CC(C)(C)C(=O)Nc1ccc(N2CCOCC2)nc1
Z450470060,1224024-R-01,H10,316.782,2.932,1,47.280,6,,OCCc1nc2ccccc2n1CCOc1ccccc1Cl
Z406578210,1224024-R-01,H11,269.363,0.359,2,71.090,6,,CCNC(=O)CNC(=O)Cc1csc(C(C)C)n1
Z422475330,1224024-R-02,A02,295.400,0.905,2,71.090,4,,CC(C)c1nc(CC(=O)NC2CCCCNC2=O)cs1
Z32445933,1224024-R-02,A03,329.394,0.847,1,79.370,6,,O=C(CCN1C(=O)C2CCCCC2C1=O)NCCc1ccccn1
Z453676640,1224024-R-02,A04,309.427,2.199,1,54.460,4,,CSC(C)C(=O)Nc1ccc(N2CC(C)OC(C)C2)nc1
Z252792730,1224024-R-02,A05,263.335,1.481,1,54.460,4,,CCC(C)NC(=O)c1cccnc1N1CCOCC1
Z135626990,1224024-R-02,A06,239.271,0.025,2,78.510,4,,CCC(C)(C)NC(=O)Cn1ccc(=O)[nH]c1=O
Z281177882,1224024-R-02,A07,320.387,0.518,2,75.720,5,,O=C(NCC(C1CCOC1)N1CCOCC1)Nc1cccnc1
Z240154238,1224024-R-02,A08,271.336,-0.073,1,71.530,3,,O=S(=O)(NCCc1ccccn1)N1CCOCC1
Z409512352,1224024-R-02,A09,240.325,2.390,2,66.910,2,,CC1CCC(NC(=O)Nc2nncs2)CC1
Z409738454,1224024-R-02,A10,266.339,2.236,2,70.400,4,,Cc1cc(NC(=O)NCCN2CCC(C)CC2)no1
Z434978884,1224024-R-02,A11,294.306,0.800,2,92.790,5,,COCCOc1ccc(NC(=O)N2CCNC(=O)C2)cn1
Z408531176,1224024-R-02,B02,281.374,1.161,1,54.460,4,,CSC(C)C(=O)Nc1ccc(N2CCOCC2)cn1
Z220733308,1224024-R-02,B03,225.244,-0.374,2,78.510,4,,CCC(C)NC(=O)Cn1ccc(=O)[nH]c1=O
Z31371251,1224024-R-02,B04,310.347,2.223,1,64.350,6,,CC(=O)c1ccc(OCC(O)Cn2cnc3ccccc32)cc1
Z371279882,1224024-R-02,B05,321.372,2.171,1,80.760,7,,COCCOc1ccc(NC(=O)C2CC(=O)N(C(C)C)C2)cn1
Z434577106,1224024-R-02,B06,343.423,2.864,3,86.360,5,,O=C1CN(c2ccc(NC(=O)NCCC3=CCCCC3)cn2)CCN1
Z434976256,1224024-R-02,B07,293.361,2.622,1,63.690,5,,COCCOc1ccc(NC(=O)N2CCCCCC2)cn1
Z355213550,1224024-R-02,B08,328.430,1.283,1,74.770,5,,CCN(CC)S(=O)(=O)NCc1cccnc1N1CCOCC1
Z31371302,1224024-R-02,B09,286.301,2.766,1,47.280,5,,OC(COc1ccc(F)cc1)Cn1cnc2ccccc21
Z220842842,1224024-R-02,B10,297.373,0.048,1,79.370,4,,CS(=O)(=O)N1CCCC1C(=O)NCCc1ccccn1
Z363568516,1224024-R-02,B11,342.414,-0.697,1,91.840,5,,CN(CC(=O)NCc1ccc(N2CCOCC2)nc1)S(C)(=O)=O
Z382852586,1224024-R-02,C02,267.281,-0.167,1,78.950,4,,Cn1c(=O)ccn(CC(=O)NCC2CCCO2)c1=O
Z221234574,1224024-R-02,C03,239.271,0.155,2,78.510,5,,CCCC(C)NC(=O)Cn1ccc(=O)[nH]c1=O
Z31371485,1224024-R-02,C04,324.374,2.492,1,64.350,6,,CC(=O)c1ccc(OCC(O)Cn2c(C)nc3ccccc32)cc1
Z365873156,1224024-R-02,C05,311.400,0.607,1,79.370,4,,CS(=O)(=O)N1CCCCC1C(=O)NCCc1cccnc1
Z505809576,1224024-R-02,C06,248.281,0.720,3,83.120,2,,O=C(Nc1cccnc1)NC1CCCCNC1=O
Z371275124,1224024-R-02,C07,266.293,1.467,1,69.680,6,,COCCOc1ccc(NC(=O)C2CCCO2)cn1
Z254724282,1224024-R-02,C08,294.393,1.462,1,59.390,5,,Cc1cc(C)n(CC(=O)NCCN2CC(C)OC(C)C2)n1
Z406639278,1224024-R-02,C09,333.306,1.254,1,63.690,6,,CC(OCC(F)(F)F)C(=O)Nc1ccc(N2CCOCC2)nc1
Z31489394,1224024-R-02,C10,277.243,1.257,1,56.150,5,,O=C(Cn1ccc(C(F)(F)F)n1)NCC1CCCO1
Z434205042,1224024-R-02,C11,330.425,3.276,2,66.490,5,,O=C(NCCC1=CCCCC1)Nc1ccc(N2CCOCC2)nc1
Z296583320,1224024-R-02,D02,332.378,0.350,1,91.730,4,,O=C(NCCc1cccnc1)C1=CN2CCS(=O)(=O)N=C2C=C1
Z408110256,1224024-R-02,D03,237.255,-0.249,2,78.510,4,,CC1CC1CNC(=O)Cn1ccc(=O)[nH]c1=O
Z31336148,1224024-R-02,D04,316.327,1.528,2,67.510,6,,OCc1nc2ccccc2n1CC(O)COc1ccccc1F
Z403602122,1224024-R-02,D05,311.400,0.093,1,79.370,4,,CS(=O)(=O)N1CCCC(C(=O)NCCc2cccnc2)C1
